"","gene_name","gene_id","rpm"
"1","bru1","FBgn0000114",55.7
"2","Cam","FBgn0000253",528.766666666667
"3","Pka-C1","FBgn0000273",229.333333333333
"4","chic","FBgn0000308",2163.66666666667
"5","cta","FBgn0000384",8.26666666666667
"6","Dl","FBgn0000463",53.7333333333333
"7","ed","FBgn0000547",227.833333333333
"8","ena","FBgn0000578",60.1666666666667
"9","Actn","FBgn0000667",204.966666666667
"10","flw","FBgn0000711",25.2
"11","fog","FBgn0000719",5.6
"12","fz","FBgn0001085",4.93333333333333
"13","Gbeta13F","FBgn0001105",613.6
"14","Galphao","FBgn0001122",35.0333333333333
"15","if","FBgn0001250",64.0666666666667
"16","kel","FBgn0001301",63.5666666666667
"17","Arpc1","FBgn0001961",39.6666666666667
"18","l(2)gl","FBgn0002121",169.9
"19","dco","FBgn0002413",14.5333333333333
"20","Lam","FBgn0002525",104.733333333333
"21","Mlc2","FBgn0002773",414.566666666667
"22","osp","FBgn0003016",12.4666666666667
"23","polo","FBgn0003124",45.7333333333333
"24","Prm","FBgn0003149",177.033333333333
"25","shi","FBgn0003392",132.566666666667
"26","sn","FBgn0003447",231.433333333333
"27","spir","FBgn0003475",9.63333333333333
"28","sqh","FBgn0003514",112.733333333333
"29","Tm1","FBgn0003721",708.066666666667
"30","Tm2","FBgn0004117",168.633333333333
"31","up","FBgn0004169",606.033333333333
"32","fwd","FBgn0004373",29.0333333333333
"33","mew","FBgn0004456",36.7333333333333
"34","N","FBgn0004647",61.9
"35","svr","FBgn0004648",304.433333333333
"36","mys","FBgn0004657",221.566666666667
"37","Mlc-c","FBgn0004687",759.233333333333
"38","cdi","FBgn0004876",15.1666666666667
"39","Ggamma1","FBgn0004921",216.1
"40","bt","FBgn0005666",1241.23333333333
"41","alpha-Cat","FBgn0010215",30.6666666666667
"42","Gel","FBgn0010225",165.633333333333
"43","Myo61F","FBgn0010246",6.53333333333333
"44","hep","FBgn0010303",8.06666666666667
"45","Rac1","FBgn0010333",102.7
"46","Cdc42","FBgn0010341",217.133333333333
"47","cora","FBgn0010434",9.9
"48","CG10939","FBgn0010620",19.5666666666667
"49","Spn","FBgn0010905",12.1333333333333
"50","dia","FBgn0011202",37.2666666666667
"51","jar","FBgn0011225",56.8333333333333
"52","l(2)efl","FBgn0011296",19.9666666666667
"53","cpb","FBgn0011570",109.6
"54","Moe","FBgn0011661",314.866666666667
"55","tsr","FBgn0011726",118.4
"56","Arp2","FBgn0011742",39.4333333333333
"57","ctp","FBgn0011760",110.4
"58","nuf","FBgn0013718",109.7
"59","pnut","FBgn0013726",28.8
"60","shot","FBgn0013733",121.033333333333
"61","Arf51F","FBgn0013750",39.3333333333333
"62","Rac2","FBgn0014011",62.8666666666667
"63","Rho1","FBgn0014020",392.4
"64","cher","FBgn0014141",919.566666666667
"65","Mlp84B","FBgn0014863",830.266666666667
"66","Pi3K68D","FBgn0015278",47.6333333333333
"67","CanB2","FBgn0015614",7.2
"68","Rab11","FBgn0015790",168.866666666667
"69","sktl","FBgn0016984",125.2
"70","CLIP-190","FBgn0020503",23.7
"71","Rack1","FBgn0020618",96.5333333333333
"72","Pkn","FBgn0020621",23.5
"73","Nup154","FBgn0021761",6.13333333333333
"74","RhoGEF2","FBgn0023172",8.8
"75","sns","FBgn0024189",16
"76","Fim","FBgn0024238",52.2666666666667
"77","WASp","FBgn0024273",34.9333333333333
"78","Crk","FBgn0024811",26.2666666666667
"79","moody","FBgn0025631",10
"80","DAAM","FBgn0025641",9.9
"81","Cortactin","FBgn0025865",42.7666666666667
"82","Mhcl","FBgn0026059",48.8333333333333
"83","cib","FBgn0026084",722.133333333333
"84","siz","FBgn0026179",22.6666666666667
"85","Rok","FBgn0026181",11.8
"86","gukh","FBgn0026239",25.5666666666667
"87","Pten","FBgn0026379",7.1
"88","Kank","FBgn0027596",6.4
"89","Akap200","FBgn0027932",426.966666666667
"90","seq","FBgn0028991",9.16666666666667
"91","pigs","FBgn0029881",38.9
"92","pod1","FBgn0029903",219.5
"93","feo","FBgn0030241",8.93333333333333
"94","mthl1","FBgn0030766",12.0333333333333
"95","CG6891","FBgn0030955",17.7666666666667
"96","Rab35","FBgn0031090",10.8333333333333
"97","Arpc5","FBgn0031437",21.3
"98","CG9426","FBgn0032485",10.0333333333333
"99","Arpc2","FBgn0032859",21
"100","CG8726","FBgn0033244",62
"101","wash","FBgn0033692",20.1
"102","Dg","FBgn0034072",71.9333333333333
"103","Ehbp1","FBgn0034180",15.1666666666667
"104","CG10915","FBgn0034308",12.4
"105","cpa","FBgn0034577",13.0333333333333
"106","Slik","FBgn0035001",28.8666666666667
"107","Cip4","FBgn0035533",6.9
"108","Zasp66","FBgn0035917",1541.16666666667
"109","RhoGAP68F","FBgn0036257",16.0333333333333
"110","RhoGAP71E","FBgn0036518",15
"111","zye","FBgn0036985",31.4666666666667
"112","Arfip","FBgn0037884",22.3333333333333
"113","Arpc3A","FBgn0038369",10.7333333333333
"114","RhoGAP92B","FBgn0038747",41.2666666666667
"115","Mtl","FBgn0039532",69.6333333333333
"116","CG1674","FBgn0039897",47.4666666666667
"117","conu","FBgn0039994",21.5333333333333
"118","Vav","FBgn0040068",15.6666666666667
"119","Atx2","FBgn0041188",369.9
"120","tral","FBgn0041775",212.566666666667
"121","SCAR","FBgn0041781",13.6666666666667
"122","mask","FBgn0043884",166.133333333333
"123","Pak3","FBgn0044826",49.9333333333333
"124","CG30389","FBgn0050389",6.16666666666667
"125","Unc-115a","FBgn0051352",17.0333333333333
"126","sals","FBgn0051374",43.6333333333333
"127","CG32264","FBgn0052264",69.4333333333333
"128","Mrtf","FBgn0052296",91.0666666666667
"129","zormin","FBgn0052311",21.4333333333333
"130","parvin","FBgn0052528",56.7333333333333
"131","Mical","FBgn0053208",86.7
"132","Lasp","FBgn0063485",21.5666666666667
"133","tmod","FBgn0082582",115.1
"134","CG34417","FBgn0085446",628.8
"135","ALiX","FBgn0086346",7.56666666666667
"136","Myo31DF","FBgn0086347",14.5333333333333
"137","chinmo","FBgn0086758",529.4
"138","step","FBgn0086779",5.5
"139","sls","FBgn0086906",133.1
"140","psidin","FBgn0243511",10.5333333333333
"141","beta-Spec","FBgn0250788",98.9333333333333
"142","alpha-Spec","FBgn0250789",30.1
"143","CG33521","FBgn0250819",155.966666666667
"144","gish","FBgn0250823",109.1
"145","Nedd4","FBgn0259174",20
"146","Mlp60A","FBgn0259209",141.666666666667
"147","CG42319","FBgn0259219",21
"148","C3G","FBgn0259228",10.1
"149","Pka-R1","FBgn0259243",106.766666666667
"150","crb","FBgn0259685",13.4
"151","tal-1A","FBgn0259730",39.9666666666667
"152","tal-2A","FBgn0259731",39.9666666666667
"153","tal-3A","FBgn0259732",39.9666666666667
"154","tal-AA","FBgn0259733",39.9666666666667
"155","flr","FBgn0260049",25.8666666666667
"156","rhea","FBgn0260442",92.1333333333333
"157","p120ctn","FBgn0260799",87
"158","capt","FBgn0261458",144.333333333333
"159","kug","FBgn0261574",13.6
"160","pico","FBgn0261811",50.6
"161","Bsg","FBgn0261822",918.6
"162","Msp300","FBgn0261836",535.7
"163","Gprk2","FBgn0261988",20.4333333333333
"164","Arp3","FBgn0262716",27.0333333333333
"165","Src64B","FBgn0262733",32.6666666666667
"166","hts","FBgn0263391",114.9
"167","CG43658","FBgn0263706",74.5
"168","sick","FBgn0263873",7.7
"169","jvl","FBgn0263929",22.4
"170","spoon","FBgn0263987",83.6
"171","CG43897","FBgn0264489",299.966666666667
"172","how","FBgn0264491",359.033333333333
"173","Mhc","FBgn0264695",265.233333333333
"174","Src42A","FBgn0264959",4.96666666666667
"175","tn","FBgn0265356",52.5666666666667
"176","zip","FBgn0265434",258.866666666667
"177","coro","FBgn0265935",122.566666666667
"178","Zasp52","FBgn0265991",159.133333333333
"179","Fhos","FBgn0266084",42.8333333333333
"180","Svil","FBgn0266696",50.4666666666667
"181","btsz","FBgn0266756",8.3
"182","sau","FBgn0267378",158.1
"183","Myo81F","FBgn0267431",10.7
"184","Frl","FBgn0267795",25.5666666666667
"185","vib","FBgn0267975",11.8333333333333
"186","wupA","FBgn0283471",473.933333333333
"187","tyn","FBgn0284435",13.4
"188","cv-c","FBgn0285955",29.5333333333333
